,Year,State,Fips,CountyName,Region,EstimatedValue
0,2010,Georgia,13001,Appling,Southeast,235182.41
1,2010,Georgia,13003,Atkinson,Southeast,164959.36
2,2010,Georgia,13005,Bacon,Southeast,127391.9
3,2010,Georgia,13007,Baker,Southwest,108906.05
4,2010,Georgia,13009,Baldwin,Central,120737.89
5,2010,Georgia,13011,Banks,North Central,82317.31
6,2010,Georgia,13013,Barrow,North Central,46432.06
7,2010,Georgia,13015,Bartow,North,177585.19
8,2010,Georgia,13017,Ben Hill,Southwest,93665.19
9,2010,Georgia,13019,Berrien,Southwest,177809.85
10,2010,Georgia,13021,Bibb,Central,65410.91
11,2010,Georgia,13023,Bleckley,Central,77646.97
12,2010,Georgia,13025,Brantley,Southeast,234446.58
13,2010,Georgia,13027,Brooks,Southwest,170674.96
14,2010,Georgia,13029,Bryan,Southeast,205500.77
15,2010,Georgia,13031,Bulloch,Southeast,289453.8
16,2010,Georgia,13033,Burke,Central,330401.31
17,2010,Georgia,13035,Butts,Central,77951.0
18,2010,Georgia,13037,Calhoun,Central,73913.0
19,2010,Georgia,13039,Camden,Southeast,267884.83
20,2010,Georgia,13043,Candler,Southeast,78784.53
21,2010,Georgia,13045,Carroll,North Central,177635.11
22,2010,Georgia,13047,Catoosa,North,38073.03
23,2010,Georgia,13049,Charlton,Southeast,391465.83
24,2010,Georgia,13051,Chatham,Southeast,84081.49
25,2010,Georgia,13053,Chattahoochee,Central,134415.77
26,2010,Georgia,13055,Chattooga,North,186704.46
27,2010,Georgia,13057,Cherokee,North,152673.48
28,2010,Georgia,13059,Clarke,North Central,23974.2
29,2010,Georgia,13061,Clay,Central,84627.75
30,2010,Georgia,13063,Clayton,North Central,14141.61
31,2010,Georgia,13065,Clinch,Southeast,554726.24
32,2010,Georgia,13067,Cobb,North Central,15759.91
33,2010,Georgia,13069,Coffee,Southeast,213540.2
34,2010,Georgia,13071,Colquitt,Southwest,148897.31
35,2010,Georgia,13073,Columbia,Central,97011.7
36,2010,Georgia,13075,Cook,Southwest,74232.88
37,2010,Georgia,13077,Coweta,North Central,164332.07
38,2010,Georgia,13079,Crawford,Central,175368.22
39,2010,Georgia,13081,Crisp,Southwest,77243.22
40,2010,Georgia,13083,Dade,North,66856.24
41,2010,Georgia,13085,Dawson,North,98494.44
42,2010,Georgia,13087,Decatur,Southwest,168097.61
43,2010,Georgia,13089,DeKalb,North Central,46631.39
44,2010,Georgia,13091,Dodge,Southeast,215592.42
45,2010,Georgia,13093,Dooly,Southwest,94240.42
