,State,Fips,CountyName,Region,Year,EstimatedValue
0,Georgia,13001,Appling,Southeast,`0012 2019,38895.792270730846
1,Georgia,13001,Appling,Southeast,`0013 2018,41245.35276270692
2,Georgia,13001,Appling,Southeast,`0014 2017,58183.01539678476
3,Georgia,13001,Appling,Southeast,`0015 2016,40112.08758203869
4,Georgia,13001,Appling,Southeast,`0016 2015,45975.077015314535
5,Georgia,13003,Atkinson,Southeast,`0012 2019,18216.091207703827
6,Georgia,13003,Atkinson,Southeast,`0013 2018,29293.59925821928
7,Georgia,13003,Atkinson,Southeast,`0014 2017,32315.23990962311
8,Georgia,13003,Atkinson,Southeast,`0015 2016,36504.677086131356
9,Georgia,13003,Atkinson,Southeast,`0016 2015,38609.139097928135
10,Georgia,13005,Bacon,Southeast,`0012 2019,28418.139277130693
11,Georgia,13005,Bacon,Southeast,`0013 2018,15570.16142184381
12,Georgia,13005,Bacon,Southeast,`0014 2017,19784.287016520604
13,Georgia,13005,Bacon,Southeast,`0015 2016,14748.149415237396
14,Georgia,13005,Bacon,Southeast,`0016 2015,29748.511882871728
15,Georgia,13007,Baker,Southwest,`0012 2019,18612.212299866344
16,Georgia,13007,Baker,Southwest,`0013 2018,24406.55624349093
17,Georgia,13007,Baker,Southwest,`0014 2017,38780.43249942851
18,Georgia,13007,Baker,Southwest,`0015 2016,18490.896411385896
19,Georgia,13007,Baker,Southwest,`0016 2015,28912.768300910593
20,Georgia,13009,Baldwin,Central,`0012 2019,22405.62568472636
21,Georgia,13009,Baldwin,Central,`0013 2018,28146.912507300978
22,Georgia,13009,Baldwin,Central,`0014 2017,26439.19161195054
23,Georgia,13009,Baldwin,Central,`0015 2016,18979.792549017267
24,Georgia,13009,Baldwin,Central,`0016 2015,21939.34154574088
25,Georgia,13011,Banks,North Central,`0012 2019,11772.183762441871
26,Georgia,13011,Banks,North Central,`0013 2018,10308.30068005013
27,Georgia,13011,Banks,North Central,`0014 2017,13961.21795070545
28,Georgia,13011,Banks,North Central,`0015 2016,19560.209601713796
29,Georgia,13011,Banks,North Central,`0016 2015,28084.656260855067
30,Georgia,13013,Barrow,North Central,`0012 2019,5366.7914250002195
31,Georgia,13013,Barrow,North Central,`0013 2018,10354.66568514684
32,Georgia,13013,Barrow,North Central,`0014 2017,11711.783776367172
33,Georgia,13013,Barrow,North Central,`0015 2016,2831.6816253507486
34,Georgia,13013,Barrow,North Central,`0016 2015,15200.669881138001
35,Georgia,13015,Bartow,North,`0012 2019,23722.913874018315
36,Georgia,13015,Bartow,North,`0013 2018,28991.5930775977
37,Georgia,13015,Bartow,North,`0014 2017,36866.59107627929
38,Georgia,13015,Bartow,North,`0015 2016,28786.283572970748
39,Georgia,13015,Bartow,North,`0016 2015,40683.82831553833
40,Georgia,13017,Ben Hill,Southwest,`0012 2019,18339.06108453466
41,Georgia,13017,Ben Hill,Southwest,`0013 2018,24816.283066488457
42,Georgia,13017,Ben Hill,Southwest,`0014 2017,18475.6366922005
43,Georgia,13017,Ben Hill,Southwest,`0015 2016,7745.287738889585
44,Georgia,13017,Ben Hill,Southwest,`0016 2015,21173.946510178004
45,Georgia,13019,Berrien,Southwest,`0012 2019,23635.79491672419
46,Georgia,13019,Berrien,Southwest,`0013 2018,32374.51890536139
47,Georgia,13019,Berrien,Southwest,`0014 2017,30184.954191684865
48,Georgia,13019,Berrien,Southwest,`0015 2016,36678.12216906931
49,Georgia,13019,Berrien,Southwest,`0016 2015,26291.764027219728
50,Georgia,13021,Bibb,Central,`0012 2019,11701.128420005445
51,Georgia,13021,Bibb,Central,`0013 2018,12932.692760185808
52,Georgia,13021,Bibb,Central,`0014 2017,11699.689995361205
53,Georgia,13021,Bibb,Central,`0015 2016,10225.473252317215
54,Georgia,13021,Bibb,Central,`0016 2015,23725.504866648193
55,Georgia,13023,Bleckley,Central,`0012 2019,11924.945671851445
56,Georgia,13023,Bleckley,Central,`0014 2017,23849.891343702882
57,Georgia,13023,Bleckley,Central,`0015 2016,26773.526339307624
58,Georgia,13023,Bleckley,Central,`0016 2015,17775.436750715682
59,Georgia,13025,Brantley,Southeast,`0012 2019,55903.68191251509
60,Georgia,13025,Brantley,Southeast,`0013 2018,59203.069603660486
61,Georgia,13025,Brantley,Southeast,`0014 2017,51812.54290694964
62,Georgia,13025,Brantley,Southeast,`0015 2016,50329.542568398414
63,Georgia,13025,Brantley,Southeast,`0016 2015,42697.57055810923
64,Georgia,13027,Brooks,Southwest,`0012 2019,30253.748148465962
65,Georgia,13027,Brooks,Southwest,`0013 2018,40188.35272300429
66,Georgia,13027,Brooks,Southwest,`0014 2017,25766.56412971773
67,Georgia,13027,Brooks,Southwest,`0015 2016,26307.02374640512
68,Georgia,13027,Brooks,Southwest,`0016 2015,50995.58549796715
69,Georgia,13029,Bryan,Southeast,`0012 2019,32845.24770289054
70,Georgia,13029,Bryan,Southeast,`0013 2018,39505.45815423339
71,Georgia,13029,Bryan,Southeast,`0014 2017,46461.14332919745
72,Georgia,13029,Bryan,Southeast,`0015 2016,38532.25968155
73,Georgia,13029,Bryan,Southeast,`0016 2015,40490.98289102085
74,Georgia,13031,Bulloch,Southeast,`0012 2019,49684.70609219795
75,Georgia,13031,Bulloch,Southeast,`0013 2018,68111.92179213354
76,Georgia,13031,Bulloch,Southeast,`0014 2017,72703.68926104173
77,Georgia,13031,Bulloch,Southeast,`0015 2016,31381.93044522048
78,Georgia,13031,Bulloch,Southeast,`0016 2015,68395.7078848421
79,Georgia,13033,Burke,Central,`0012 2019,62475.398561601774
80,Georgia,13033,Burke,Central,`0013 2018,68121.62433897865
81,Georgia,13033,Burke,Central,`0014 2017,57389.78480923753
82,Georgia,13033,Burke,Central,`0015 2016,77452.33057861964
83,Georgia,13033,Burke,Central,`0016 2015,53347.464220762704
84,Georgia,13035,Butts,Central,`0012 2019,12597.949968299188
85,Georgia,13035,Butts,Central,`0013 2018,17999.400264838652
86,Georgia,13035,Butts,Central,`0014 2017,11925.224110371153
87,Georgia,13035,Butts,Central,`0015 2016,17551.47323659271
88,Georgia,13035,Butts,Central,`0016 2015,17453.038724190817
89,Georgia,13037,Calhoun,Central,`0012 2019,8262.485925003943
90,Georgia,13037,Calhoun,Central,`0013 2018,24073.85485782586
91,Georgia,13037,Calhoun,Central,`0014 2017,14962.729845384461
92,Georgia,13037,Calhoun,Central,`0015 2016,19294.05039896248
93,Georgia,13037,Calhoun,Central,`0016 2015,17775.43675071568
94,Georgia,13039,Camden,Southeast,`0012 2019,57636.17331302014
95,Georgia,13039,Camden,Southeast,`0013 2018,25128.16874541139
96,Georgia,13039,Camden,Southeast,`0014 2017,62345.53238297088
97,Georgia,13039,Camden,Southeast,`0015 2016,68947.08270545845
98,Georgia,13039,Camden,Southeast,`0016 2015,55243.16689256907
99,Georgia,13043,Candler,Southeast,`0012 2019,27220.89476615856
100,Georgia,13043,Candler,Southeast,`0013 2018,11754.586565465293
101,Georgia,13043,Candler,Southeast,`0014 2017,10830.868899057214
102,Georgia,13043,Candler,Southeast,`0015 2016,13247.126675009444
103,Georgia,13043,Candler,Southeast,`0016 2015,22665.308356343914
104,Georgia,13045,Carroll,North Central,`0012 2019,31204.25944539259
105,Georgia,13045,Carroll,North Central,`0013 2018,29227.27687966596
106,Georgia,13045,Carroll,North Central,`0014 2017,37714.40194247368
107,Georgia,13045,Carroll,North Central,`0015 2016,31686.62379431389
108,Georgia,13045,Carroll,North Central,`0016 2015,35182.29791654036
109,Georgia,13047,Catoosa,North,`0012 2019,9268.480170215349
110,Georgia,13047,Catoosa,North,`0013 2018,16095.310623851577
111,Georgia,13047,Catoosa,North,`0014 2017,6589.340410546095
112,Georgia,13047,Catoosa,North,`0016 2015,12885.160660881167
113,Georgia,13049,Charlton,Southeast,`0012 2019,58462.200060030205
114,Georgia,13049,Charlton,Southeast,`0013 2018,115287.61720531643
115,Georgia,13049,Charlton,Southeast,`0014 2017,98643.73494194617
116,Georgia,13049,Charlton,Southeast,`0015 2016,68721.78247953158
117,Georgia,13049,Charlton,Southeast,`0016 2015,93084.7387973546
118,Georgia,13051,Chatham,Southeast,`0012 2019,16345.935050260856
119,Georgia,13051,Chatham,Southeast,`0013 2018,19753.41412385802
120,Georgia,13051,Chatham,Southeast,`0014 2017,18179.65962829434
121,Georgia,13051,Chatham,Southeast,`0015 2016,18303.6731526301
122,Georgia,13051,Chatham,Southeast,`0016 2015,21119.02840251496
123,Georgia,13053,Chattahoochee,Central,`0012 2019,36223.87779787909
124,Georgia,13053,Chattahoochee,Central,`0013 2018,23117.099064524427
125,Georgia,13053,Chattahoochee,Central,`0014 2017,30148.30945081307
126,Georgia,13053,Chattahoochee,Central,`0015 2016,27847.30077031145
127,Georgia,13053,Chattahoochee,Central,`0016 2015,17775.43675071568
128,Georgia,13055,Chattooga,North,`0012 2019,25588.44520365229
129,Georgia,13055,Chattooga,North,`0013 2018,27450.82687913795
130,Georgia,13055,Chattooga,North,`0014 2017,46607.25625126902
131,Georgia,13055,Chattooga,North,`0015 2016,37108.0717729828
132,Georgia,13055,Chattooga,North,`0016 2015,37689.071000877004
133,Georgia,13057,Cherokee,North,`0012 2019,30583.052510470403
134,Georgia,13057,Cherokee,North,`0013 2018,28697.754644116147
135,Georgia,13057,Cherokee,North,`0014 2017,28433.450536939785
136,Georgia,13057,Cherokee,North,`0015 2016,26498.171114958903
137,Georgia,13057,Cherokee,North,`0016 2015,22168.131730854297
138,Georgia,13059,Clarke,North Central,`0012 2019,7046.816287790968
139,Georgia,13059,Clarke,North Central,`0014 2017,6178.8581791661245
140,Georgia,13059,Clarke,North Central,`0015 2016,6178.8581791661245
141,Georgia,13059,Clarke,North Central,`0016 2015,5886.091881220937
142,Georgia,13061,Clay,Central,`0012 2019,16929.827398916623
143,Georgia,13061,Clay,Central,`0013 2018,17551.47323659271
144,Georgia,13061,Clay,Central,`0014 2017,17153.790913039596
