,State,Fips,CountyName,Region,Year,EstimatedValue
0,Georgia,13001,Appling,Southeast,`0012 2019,155072.20049639442
1,Georgia,13001,Appling,Southeast,`0013 2018,328405.50491783046
2,Georgia,13001,Appling,Southeast,`0014 2017,966500.8608936546
3,Georgia,13001,Appling,Southeast,`0015 2016,640166.8709948494
4,Georgia,13001,Appling,Southeast,`0016 2015,917196.4192282325
5,Georgia,13001,Appling,Southeast,`0017 2014,860506.948509325
6,Georgia,13001,Appling,Southeast,`0018 2013,1480680.1037609382
7,Georgia,13001,Appling,Southeast,`0019 2012,1163096.66000558
8,Georgia,13001,Appling,Southeast,`0020 2011,805093.5647876916
9,Georgia,13001,Appling,Southeast,`0021 2010,1032567.9383117307
10,Georgia,13001,Appling,Southeast,`0022 2009,623144.0280961774
11,Georgia,13001,Appling,Southeast,`0023 2008,909679.4559168589
12,Georgia,13001,Appling,Southeast,`0024 2007,1318677.1934353427
13,Georgia,13001,Appling,Southeast,`0025 2006,713915.2586453513
14,Georgia,13001,Appling,Southeast,`0026 2005,896906.8241944392
15,Georgia,13001,Appling,Southeast,`0027 2004,254989.4582068443
16,Georgia,13001,Appling,Southeast,`0028 2003,447925.00219824543
17,Georgia,13001,Appling,Southeast,`0029 2002,550863.8633524028
18,Georgia,13001,Appling,Southeast,`0030 2001,72350.44692921946
19,Georgia,13001,Appling,Southeast,`0031 2000,321183.28758459253
20,Georgia,13001,Appling,Southeast,`0032 1999,770743.950372131
21,Georgia,13001,Appling,Southeast,`0033 1998,742584.954391942
22,Georgia,13003,Atkinson,Southeast,`0012 2019,72606.50785119444
23,Georgia,13003,Atkinson,Southeast,`0013 2018,233272.66296294183
24,Georgia,13003,Atkinson,Southeast,`0014 2017,656686.730050712
25,Georgia,13003,Atkinson,Southeast,`0015 2016,581129.9495918682
26,Georgia,13003,Atkinson,Southeast,`0016 2015,1254524.0681292748
27,Georgia,13003,Atkinson,Southeast,`0017 2014,361453.1262961032
28,Georgia,13003,Atkinson,Southeast,`0018 2013,1060190.8081778195
29,Georgia,13003,Atkinson,Southeast,`0019 2012,637056.0961078006
30,Georgia,13003,Atkinson,Southeast,`0020 2011,720244.8623888467
31,Georgia,13003,Atkinson,Southeast,`0021 2010,1066165.7175150672
32,Georgia,13003,Atkinson,Southeast,`0022 2009,388617.2091673563
33,Georgia,13003,Atkinson,Southeast,`0023 2008,562496.5580357312
34,Georgia,13003,Atkinson,Southeast,`0024 2007,823636.6174312673
35,Georgia,13003,Atkinson,Southeast,`0025 2006,534814.056820149
36,Georgia,13003,Atkinson,Southeast,`0026 2005,543078.0954962018
37,Georgia,13003,Atkinson,Southeast,`0027 2004,274514.56163535704
38,Georgia,13003,Atkinson,Southeast,`0028 2003,171341.0865230061
39,Georgia,13003,Atkinson,Southeast,`0029 2002,78249.13194662967
40,Georgia,13003,Atkinson,Southeast,`0030 2001,157833.1897638585
41,Georgia,13003,Atkinson,Southeast,`0031 2000,183717.857994225
42,Georgia,13003,Atkinson,Southeast,`0032 1999,417391.1616076054
43,Georgia,13003,Atkinson,Southeast,`0033 1998,734063.1659862228
44,Georgia,13005,Bacon,Southeast,`0012 2019,191334.4517357561
45,Georgia,13005,Bacon,Southeast,`0013 2018,124190.45279844268
46,Georgia,13005,Bacon,Southeast,`0014 2017,236456.22159111578
47,Georgia,13005,Bacon,Southeast,`0015 2016,235592.82764476447
48,Georgia,13005,Bacon,Southeast,`0016 2015,593063.6020404442
49,Georgia,13005,Bacon,Southeast,`0017 2014,1133976.3225689172
50,Georgia,13005,Bacon,Southeast,`0018 2013,491289.3683453842
51,Georgia,13005,Bacon,Southeast,`0019 2012,426514.77294053335
52,Georgia,13005,Bacon,Southeast,`0020 2011,386424.83079391706
53,Georgia,13005,Bacon,Southeast,`0021 2010,599961.3162512562
54,Georgia,13005,Bacon,Southeast,`0022 2009,812806.511993312
55,Georgia,13005,Bacon,Southeast,`0023 2008,461975.8581722257
56,Georgia,13005,Bacon,Southeast,`0024 2007,404051.4127596684
57,Georgia,13005,Bacon,Southeast,`0025 2006,315373.6660039843
58,Georgia,13005,Bacon,Southeast,`0026 2005,585435.7334490946
59,Georgia,13005,Bacon,Southeast,`0027 2004,282141.70427565405
60,Georgia,13005,Bacon,Southeast,`0028 2003,160276.73586078297
61,Georgia,13005,Bacon,Southeast,`0029 2002,97215.63603333556
62,Georgia,13005,Bacon,Southeast,`0030 2001,186543.0687658755
63,Georgia,13005,Bacon,Southeast,`0031 2000,151832.6650549629
64,Georgia,13005,Bacon,Southeast,`0032 1999,437466.13551380223
65,Georgia,13005,Bacon,Southeast,`0033 1998,506732.02740564226
66,Georgia,13007,Baker,Southwest,`0012 2019,74194.52638673499
67,Georgia,13007,Baker,Southwest,`0013 2018,194597.94311529244
68,Georgia,13007,Baker,Southwest,`0014 2017,690800.6023542241
69,Georgia,13007,Baker,Southwest,`0015 2016,295419.7750709028
70,Georgia,13007,Baker,Southwest,`0016 2015,987114.6264240292
71,Georgia,13007,Baker,Southwest,`0017 2014,373788.4567525013
72,Georgia,13007,Baker,Southwest,`0018 2013,483808.95066947135
73,Georgia,13007,Baker,Southwest,`0019 2012,700431.1876831908
74,Georgia,13007,Baker,Southwest,`0020 2011,358758.92099186184
75,Georgia,13007,Baker,Southwest,`0021 2010,651423.7585489363
76,Georgia,13007,Baker,Southwest,`0022 2009,357238.62434628356
77,Georgia,13007,Baker,Southwest,`0023 2008,464209.12809386
78,Georgia,13007,Baker,Southwest,`0024 2007,546499.726431527
79,Georgia,13007,Baker,Southwest,`0025 2006,227441.98539965058
80,Georgia,13007,Baker,Southwest,`0026 2005,469125.5856739773
81,Georgia,13007,Baker,Southwest,`0028 2003,97919.60335859479
82,Georgia,13007,Baker,Southwest,`0029 2002,77630.87902741767
83,Georgia,13007,Baker,Southwest,`0031 2000,203668.72423918537
84,Georgia,13007,Baker,Southwest,`0032 1999,650057.8540577063
85,Georgia,13007,Baker,Southwest,`0033 1998,592990.5032515362
86,Georgia,13009,Baldwin,Central,`0012 2019,183614.6642359433
87,Georgia,13009,Baldwin,Central,`0013 2018,413567.8545620915
88,Georgia,13009,Baldwin,Central,`0014 2017,316170.9890008302
89,Georgia,13009,Baldwin,Central,`0015 2016,302615.30137803534
90,Georgia,13009,Baldwin,Central,`0016 2015,437191.3668485529
91,Georgia,13009,Baldwin,Central,`0017 2014,1017604.0180130749
92,Georgia,13009,Baldwin,Central,`0018 2013,1379791.6505766339
93,Georgia,13009,Baldwin,Central,`0019 2012,499402.84172790445
94,Georgia,13009,Baldwin,Central,`0020 2011,382579.1175412999
95,Georgia,13009,Baldwin,Central,`0021 2010,567252.2087427378
96,Georgia,13009,Baldwin,Central,`0022 2009,560597.0528224526
97,Georgia,13009,Baldwin,Central,`0023 2008,563977.336130776
98,Georgia,13009,Baldwin,Central,`0024 2007,457662.9703928417
99,Georgia,13009,Baldwin,Central,`0025 2006,338011.9406583991
100,Georgia,13009,Baldwin,Central,`0026 2005,471932.72101696936
101,Georgia,13009,Baldwin,Central,`0027 2004,172626.63482662916
102,Georgia,13009,Baldwin,Central,`0028 2003,288748.10743505805
103,Georgia,13009,Baldwin,Central,`0029 2002,156219.87845237463
104,Georgia,13009,Baldwin,Central,`0030 2001,107311.25368570279
105,Georgia,13009,Baldwin,Central,`0031 2000,247876.05976905784
106,Georgia,13009,Baldwin,Central,`0032 1999,449235.33608506405
107,Georgia,13009,Baldwin,Central,`0033 1998,219995.42159233036
108,Georgia,13011,Banks,North Central,`0012 2019,46670.77517703071
109,Georgia,13011,Banks,North Central,`0013 2018,81542.92097351514
110,Georgia,13011,Banks,North Central,`0014 2017,166364.30801460112
111,Georgia,13011,Banks,North Central,`0015 2016,309677.2157565595
112,Georgia,13011,Banks,North Central,`0016 2015,556367.6265029279
113,Georgia,13011,Banks,North Central,`0017 2014,349258.0370363537
114,Georgia,13011,Banks,North Central,`0018 2013,202771.63716036238
115,Georgia,13011,Banks,North Central,`0019 2012,165868.40536507175
116,Georgia,13011,Banks,North Central,`0020 2011,399532.35713481833
117,Georgia,13011,Banks,North Central,`0021 2010,561375.3574866725
118,Georgia,13011,Banks,North Central,`0022 2009,336630.6101984927
119,Georgia,13011,Banks,North Central,`0023 2008,186160.67495493894
120,Georgia,13011,Banks,North Central,`0024 2007,147976.83724742485
